                                 The SAS System                                1
                                             Thursday, July  8, 2021 08:19:00 PM

       Obs    gvkey      fyear                   mii                    pi
       436    002086      1994                9.0000              810.0000
       437    002086      1995                 .                  524.0000
       438    002086      1996                 .                  793.0000
       439    002086      1999                 .                 1052.0000
       440    002086      2000                 .                  946.0000
       441    002101      1994                0.0000               21.6570
       442    002101      1995                0.0000               29.6590
       443    002101      1996                0.0000               40.8340
       444    002101      1997                0.0000               45.0920
       445    002101      1998                0.0000               49.8250
       446    002101      1999                0.0000               32.6330
       447    002101      2000                0.0000               50.5480
       448    002111      1994                0.0000              296.1590
       449    002111      1995                0.0000              349.5780
       450    002111      1996                 .                  393.6760
       451    002111      1997                 .                  422.6400
       452    002111      1998                 .                  340.8660
       453    002111      1999                 .                  372.6550
       454    002111      2000                 .                  519.9340
       455    002113      2000                0.0000                2.8320
       456    002124      1996                0.0000                9.7310
       457    002124      1997                0.0000               10.4050
       458    002124      1998                0.0000               17.0310
       459    002124      1999                0.0000               24.7270
       460    002124      2000                0.0000               37.3760
       461    002130      1994                0.0000                6.7330
       462    002136      1994                 .                 2286.8000
       463    002138      1994                0.0000               15.7290
       464    002138      1995                0.0000               25.8120
       465    002138      1996                0.0000               27.4610
       466    002138      1997                0.0000               18.7660
       467    002138      2000                0.0000                3.8370
       468    002146      1994               80.0000             3482.7000
       469    002146      1995               62.0000             2650.0000
       470    002146      1996               27.0000             4635.0000
       471    002146      1997               34.0000             5455.0000
       472    002146      1998                 .                 5751.0000
       473    002146      1999                 .                 5488.0000
       474    002146      2000                 .                 6598.0000
       475    002150      1994                0.0000              107.8970
       476    002150      1995                0.0000              111.0140
       477    002150      1996                0.0000              144.0400
       478    002150      1997                 .                  154.1220
       479    002150      1998                 .                  130.4600
       480    002154      1994                3.3790              121.4730
       481    002154      1995                3.7810              139.8910
       482    002154      1996                4.7060              167.4870
       483    002154      1997                5.4500              180.4340
       484    002154      1998                4.4180              186.3500
       485    002154      1999                4.2240              190.0990
       486    002154      2000                0.4960              211.9980
       487    002169      1994                0.0000               98.1120
       488    002169      1995                0.0000              109.4900
       489    002169      1996                0.0000              125.2700
       490    002169      1997                0.0000              138.4390
       491    002169      1998                0.0000               65.9030
       492    002184      1994                 .                   94.0510
       493    002184      1995                 .                   78.9890
       494    002184      1997                 .                  153.8530
       495    002184      1998                 .                  351.6770
       496    002184      1999                0.0000              562.5700
       497    002184      2000                0.0000              641.4790
       498    002190      1994                0.0000              120.9440
       499    002190      1995                0.0000              111.5670
       500    002190      1996                0.0000               99.7000
       501    002193      1994                0.0000              114.7950
       502    002193      1996                0.0000              125.5070
       503    002193      1997                0.0000              108.5060
       504    002201      1994                0.0000               23.7750
       505    002215      1994                0.0000                5.5780
       506    002215      1995                0.0000                7.0830
       507    002222      2000                0.0000               20.3700
       508    002224      1996                0.0000                8.4720
       509    002224      1997                0.0000                7.1790
       510    002230      1994                 .                  124.9420
       511    002230      1995                 .                  149.6690
       512    002230      1996                 .                  169.1320
       513    002230      1997                 .                  203.7970
       514    002230      1998                7.4580              186.3460
       515    002230      1999                7.1830              280.6920
       516    002230      2000                7.2240              310.6760
       517    002237      1995                0.0000                0.5420
       518    002237      1996                0.0000                0.2150
       519    002246      1994                0.0000                0.9390
       520    002246      1995                0.0000                1.3170
       521    002246      1996                0.0000                0.9830
       522    002246      1997                0.0000                1.7240
       523    002246      1998                0.0000                0.3230
       524    002246      1999                0.0000                3.0040
       525    002265      1994                0.9010               21.2730
       526    002265      1995                1.9360               13.9700
       527    002265      1996                3.9390               12.2200
       528    002267      1994                0.0000               63.6490
       529    002267      1995                0.0000               65.5010
       530    002267      1996                0.0000               10.8170
       531    002267      1997                0.0000               69.6110
       532    002267      1998                0.0000               67.4970
       533    002269      1994                0.0000              219.9960
       534    002269      1995                 .                  285.2940
       535    002269      1996              -23.8120               38.5560
       536    002269      1997                 .                  280.8910
       537    002269      1998                 .                  383.5410
       538    002269      1999                 .                  412.2660
       539    002269      2000                 .                  473.0780
       540    002271      1994                0.0000               65.8950
       541    002271      1995                0.0000               83.6760
       542    002271      1997                0.0000               93.7000
       543    002271      1998                0.0000              102.2000
       544    002271      2000                0.0000               17.2000
       545    002282      1994                0.0000               86.8690
       546    002282      1995                0.0000               46.7450
       547    002282      1996                0.0000               56.9920
       548    002282      1997                0.0000               72.5210
       549    002282      1998                0.0000               91.3740
       550    002282      1999                0.0000               83.9540
       551    002282      2000                0.0000               78.7140
       552    002285      1994                0.0000             1143.0000
       553    002285      1995                0.0000              360.0000
       554    002285      1996                0.0000             1363.0000
       555    002285      1998                0.0000             1397.0000
       556    002285      1999                0.0000             3324.0000
       557    002285      2000                0.0000             2999.0000
       558    002290      1995                6.2600              589.4100
       559    002290      1996               10.3300               31.3400
       560    002290      2000                3.4080              298.3310
       561    002308      1994                 .                   11.5160
       562    002308      1995                 .                   19.9480
       563    002312      1994                0.0000               45.2070
       564    002312      1995                0.0000               69.0890
       565    002312      1996                0.0000              103.6450
       566    002312      1997                0.0000              158.8280
       567    002312      1998                0.0000              221.1760
       568    002312      1999                0.0000              234.6970
       569    002312      2000                0.0000              301.6270
       570    002322      1994                 .                   10.1000
       571    002322      1995                 .                   11.8000
       572    002322      1996                 .                   23.4000
       573    002322      1997                 .                   30.0000
       574    002322      1998                 .                   24.9000
       575    002342      1994                0.0000                6.0820
       576    002342      1995                0.0000                5.1190
       577    002342      1996                0.0000                4.1610
       578    002342      1997                0.0000                4.0420
       579    002342      1998                0.0000                4.7780
       580    002342      1999                0.0000                5.2370
       581    002342      2000                0.0000                6.5740
       582    002343      1994                0.0000                2.4070
       583    002343      1995                0.0000                2.9330
       584    002343      1996                0.0000                1.3910
       585    002343      1997                0.0000                1.7990
       586    002346      1994                 .                   54.2030
       587    002346      1995                 .                   41.7510
       588    002346      1996                 .                   75.0150
       589    002346      1997                 .                  120.6130
       590    002346      1998                 .                   54.4150
       591    002348      1995                0.0580                2.7850
       592    002348      1996                0.0060                1.4550
       593    002348      1997               -0.0230                3.1930
       594    002348      1998                0.0260                0.7490
       595    002352      1994                0.0000               29.9020
       596    002352      1995                0.0000               44.6390
       597    002352      1996                0.0000               45.4330
       598    002375      1994                0.0000               14.5550
       599    002390      1994                0.0000                9.9070
